schema_version,model,seed,season,spearman,slot_weeks
1,player-vegas,-1,2024,0.331498147257,54
1,random,0,2024,0.0328261210288,54
1,random,1,2024,0.0113615482649,54
1,random,2,2024,-0.0404454840725,54
1,random,3,2024,0.00607377233306,54
1,random,4,2024,-0.00668252148527,54
1,random,5,2024,-0.0228694107452,54
1,random,6,2024,0.00296357236301,54
1,random,7,2024,-0.00634505321318,54
1,random,8,2024,0.00318001495902,54
1,random,9,2024,0.000966433849993,54
1,random,10,2024,-0.0127115013214,54
1,random,11,2024,0.00347133158794,54
1,random,12,2024,0.00875111616632,54
1,random,13,2024,0.0138709216377,54
1,random,14,2024,0.046493863177,54
1,random,15,2024,-0.0262851573511,54
1,random,16,2024,-0.0173303106969,54
1,random,17,2024,-0.0113123568995,54
1,random,18,2024,0.0494212378226,54
1,random,19,2024,-0.00536775590042,54
1,regressed-rate,-1,2024,0.276409791738,54
1,shipped,-1,2024,0.385836833165,54
1,vegas-environment,-1,2024,0.345134268872,54
1,within-player,0,2024,0.386311448353,54
1,within-player,1,2024,0.382183606212,54
1,within-player,2,2024,0.384593229512,54
1,within-player,3,2024,0.38488779244,54
1,within-player,4,2024,0.382369501163,54
1,within-player,5,2024,0.384989269201,54
1,within-player,6,2024,0.384587726595,54
1,within-player,7,2024,0.383616213222,54
1,within-player,8,2024,0.382822755598,54
1,within-player,9,2024,0.384259415468,54
1,within-player,10,2024,0.382407464889,54
1,within-player,11,2024,0.386956653589,54
1,within-player,12,2024,0.383706816825,54
1,within-player,13,2024,0.386774332772,54
1,within-player,14,2024,0.383958477038,54
1,within-player,15,2024,0.388003426565,54
1,within-player,16,2024,0.385523563919,54
1,within-player,17,2024,0.385580144316,54
1,within-player,18,2024,0.384317539913,54
1,within-player,19,2024,0.387161827091,54
1,base-rate-only,-1,2025,0.344141803606,54
1,current-season-rate,-1,2025,0.246656557726,53
1,historical-rate,-1,2025,0.269186265481,54
1,no-vegas,-1,2025,0.408826004033,54
1,player-vegas,-1,2025,0.326257201173,54
1,random,0,2025,0.0358563437867,54
1,random,1,2025,-0.00109414273158,54
1,random,2,2025,-0.0157018257499,54
1,random,3,2025,0.0056803476579,54
1,random,4,2025,0.0102002870402,54
1,random,5,2025,-0.0203209287485,54
